id,title,vote_average,vote_count,revenue,budget,popularity,genres,release_date,imdb_id,production_countries,original_language,ROI
1892,Return of the Jedi,7.892,14591,572700000,32350000,40.104,"Adventure, Action, Science Fiction",1983-05-25,tt0086190,United States of America,en,16.7032457496136
429617,Spider-Man: Far From Home,7.447,14495,1131927996,160000000,49.913,"Action, Adventure, Science Fiction",2019-06-28,tt6320628,United States of America,en,6.074549975
37724,Skyfall,7.227,14466,1142471295,200000000,33.456,"Action, Adventure, Thriller",2012-10-24,tt1074638,"United Kingdom, United States of America",en,4.712356475
49047,Gravity,7.162,14463,723192705,105000000,31.024,"Science Fiction, Thriller, Drama",2013-10-03,tt1454468,"United Kingdom, United States of America",en,5.887549571428571
127585,X-Men: Days of Future Past,7.5,14433,747862775,250000000,60.194,"Action, Adventure, Science Fiction",2014-05-15,tt1877832,United States of America,en,1.9914511
333339,Ready Player One,7.6,14430,607274134,175000000,50.088,"Adventure, Action, Science Fiction",2018-03-28,tt1677720,United States of America,en,2.4701379085714286
72190,World War Z,6.807,14409,531865000,200000000,55.042,"Action, Drama, Horror, Science Fiction, Thriller",2013-06-20,tt0816711,"Malta, United Kingdom, United States of America",en,1.659325
640,Catch Me If You Can,7.971,14393,352114312,52000000,44.814,"Drama, Crime",2002-12-16,tt0264464,United States of America,en,5.771429076923077
330459,Rogue One: A Star Wars Story,7.488,14354,1056057273,200000000,33.1,"Action, Adventure, Science Fiction",2016-12-14,tt3748528,United States of America,en,4.280286365
181808,Star Wars: The Last Jedi,6.825,14312,1332698830,200000000,47.241,"Adventure, Action, Science Fiction",2017-12-13,tt2527336,United States of America,en,5.66349415
49521,Man of Steel,6.614,14310,668045518,225000000,44.96,"Action, Adventure, Science Fiction",2013-06-12,tt0770828,"United Kingdom, United States of America",en,1.969091191111111
20352,Despicable Me,7.227,14147,533679475,69000000,47.416,"Family, Animation, Comedy",2010-07-08,tt1323594,United States of America,en,6.734485144927536
558,Spider-Man 2,7.258,14096,788976453,200000000,24.172,"Action, Adventure, Fantasy",2004-06-25,tt0316654,United States of America,en,2.944882265
324857,Spider-Man: Into the Spider-Verse,8.404,14024,375464627,90000000,80.675,"Action, Adventure, Animation, Science Fiction",2018-12-06,tt4633694,United States of America,en,3.1718291888888888
118,Charlie and the Chocolate Factory,7.04,13967,474968763,150000000,60.854,"Adventure, Comedy, Family, Fantasy",2005-07-13,tt0367594,"United Kingdom, United States of America",en,2.16645842
244786,Whiplash,8.381,13891,13092000,3300000,54.495,"Drama, Music",2014-10-10,tt2582802,United States of America,en,2.9672727272727273
1422,The Departed,8.166,13792,291465000,90000000,42.503,"Drama, Thriller, Crime",2006-10-04,tt0407887,"Hong Kong, United States of America",en,2.2385
120467,The Grand Budapest Hotel,8.049,13787,174600318,30000000,33.966,"Comedy, Drama",2014-02-26,tt2278388,"Germany, United States of America",en,4.8200106
10193,Toy Story 3,7.792,13777,1066969703,200000000,69.145,"Animation, Family, Comedy",2010-06-16,tt0435761,United States of America,en,4.334848515
77,Memento,8.188,13723,39723096,9000000,31.795,"Mystery, Thriller",2000-10-11,tt0209144,United States of America,en,3.4136773333333332
38,Eternal Sunshine of the Spotless Mind,8.101,13709,72258126,20000000,54.124,"Science Fiction, Drama, Romance",2004-03-19,tt0338013,United States of America,en,2.6129063
101,Léon: The Professional,8.316,13652,45284974,16000000,58.625,"Crime, Drama, Action",1994-09-14,tt0110413,"United States of America, France",en,1.830310875
44214,Black Swan,7.672,13567,329398046,13000000,34.932,"Drama, Thriller, Horror",2010-12-03,tt0947798,United States of America,en,24.338311230769232
752,V for Vendetta,7.897,13556,132511035,54000000,42.174,"Action, Thriller, Science Fiction",2006-02-23,tt0434409,"Germany, United Kingdom, United States of America",en,1.4539080555555555
1893,Star Wars: Episode I - The Phantom Menace,6.5,13550,924317558,115000000,46.845,"Adventure, Action, Science Fiction",1999-05-19,tt0120915,United States of America,en,7.037543982608696
152601,Her,7.862,13407,47351251,23000000,37.608,"Romance, Science Fiction, Drama",2013-12-18,tt1798709,United States of America,en,1.0587500434782608
